use_ID,sel_ID,ite_ID,cat_ID,act_ID,time
1980536,9666,1450952,1,0,20150826
1980536,9666,1450952,1,0,20150826
647747,9666,1450952,1,0,20150915
1980536,9666,1450952,1,0,20150823
183647,9525,578730,1,0,20150711
723956,589,28301,1,0,20150825
1781938,589,28301,1,0,20150724
1652831,589,1533782,1,0,20150702
416403,2316,1129278,1,0,20151006
43130,4058,1745953,1,0,20151019
502518,4058,1745953,1,0,20150902
109400,4058,1745953,1,0,20151010
488933,4058,1745953,1,0,20151028
488933,4058,1745953,1,0,20151028
1023483,4058,1745953,1,0,20151029
786586,4058,1745953,1,0,20151011
1554927,4058,1745953,1,0,20150831
109400,4058,1745953,1,0,20151010
1023483,4058,1745953,1,0,20151028
958173,4058,1745953,1,0,20150821
208174,4058,1745953,1,0,20151010
109400,4058,1745953,1,0,20151003
1004531,4058,1745953,1,0,20150902
1651174,4058,1745953,1,0,20151010
109400,4058,1745953,1,0,20151003
208174,4058,1745953,1,0,20151010
194706,4058,1745953,1,0,20151011
194706,4058,1745953,1,0,20151011
445860,4058,1745953,1,0,20150822
1158774,4058,1745953,1,0,20151003
502518,4058,1745953,1,0,20150902
1023483,4058,1745953,1,0,20151028
1554927,4058,1745953,1,0,20150831
1622079,4058,1745953,1,0,20151002
1158774,4058,1745953,1,0,20151003
1034668,4058,1745953,1,0,20151029
109400,4058,1745953,1,0,20151010
208174,4058,1745953,1,0,20151010
958173,4058,1745953,1,0,20150821
805086,4058,1745953,1,0,20151009
208174,4058,1745953,1,0,20151010
1488584,4058,1745953,1,0,20151009
1073773,4058,1745953,1,0,20151026
250900,4058,1745953,1,0,20151003
1612038,4058,1745953,1,0,20151010
1612038,4058,1745953,1,0,20151010
43130,4058,1745953,1,0,20151019
208174,4058,1745953,1,0,20150915
988047,4058,1745953,1,0,20151029
1023483,4058,1745953,1,0,20151010
223687,2131,518958,1,0,20151127
1918824,2131,518958,1,0,20151007
1918824,2131,518958,1,0,20151007
1918824,2131,518958,1,0,20151007
1032167,2131,518958,1,0,20150907
951329,218,1885428,1,0,20150809
856185,218,1885428,1,1,20151029
482155,218,1885428,1,1,20151011
482155,218,1885428,1,1,20151011
856185,218,1885428,1,1,20151029
828662,5414,1859630,1,0,20150922
1992620,5414,1859630,1,0,20150911
466466,4058,1958136,1,0,20151126
1996918,4058,1958136,1,0,20151124
753366,4058,1958136,1,0,20151125
1027731,4058,1958136,1,0,20151123
505107,4058,1958136,1,0,20151125
326722,4058,1958136,1,0,20151129
1712783,4058,1958136,1,0,20151125
929801,4058,1958136,1,0,20150901
984004,4058,1958136,1,0,20150828
929801,4058,1958136,1,0,20151010
